kind,folder,file,bytes,w,h,ext
video,,1.mp4,67312262,,,.mp4
video,,2.mp4,53548229,,,.mp4
video,,3.mp4,47010042,,,.mp4
video,,4.mp4,51038196,,,.mp4
image,,4fav.jpg,19047,92,80,.jpg
video,,5.mp4,24783079,,,.mp4
video,,ALL ABOUT PROSTATE CANCER WITH HRH DR FOMUKI.mp4,9229674,,,.mp4
doc,,announcement-guneku-palace.pdf,13811397,,,.pdf
doc,,APPEAL FOR FINANCIAL SUPPORT.pdf,2565841,,,.pdf
image,,calendar-usa.jpg,418452,1066,1600,.jpg
image,,chief-usa.jpg,629347,1748,2325,.jpg
doc,,gong.pdf,899637,,,.pdf
doc,,guneku-DESIGN.pdf,880882,,,.pdf
doc,,guneku-t-shirt.ai,1645031,,,.ai
video,,JOACHIM BEUGRE JACQUEVILLE COTE DIVOIR PROSTATE CANCER SCREENING CAMPAIGN EUROLOGIE NEUWIED.mp4,27324071,,,.mp4
doc,,letter-sdo.pdf,10332039,,,.pdf
doc,,letterhead-old.pdf,2417481,,,.pdf
doc,,letterhead.docx,630926,,,.docx
image,,letterhead.jpg,52687,596,842,.jpg
doc,,letterhead.pdf,1720626,,,.pdf
doc,,logo.pdf,114384,,,.pdf
image,,logo.png,19375,370,80,.png
image,,mbeh-family.jpg,543757,2048,1993,.jpg
image,,mbeh-today.JPG,108094,1039,733,.jpg
image,,mbemi-gune1.jpg,129130,810,1080,.jpg
image,,mbemi-gune2.jpg,169257,1080,607,.jpg
image,,mbemi-gune3.jpg,160144,1080,607,.jpg
image,,mbemi-gune4.jpg,144713,1080,607,.jpg
image,,stamp.jpg,649720,673,248,.jpg
doc,,stamp.pdf,1287157,,,.pdf
doc,,text1.docx,632815,,,.docx
doc,,text1.pdf,8900710,,,.pdf
doc,,text2.docx,631881,,,.docx
doc,,text2.pdf,5451743,,,.pdf
other,,Thumbs.db,666624,,,.db
video,,video-website.mp4,11606622,,,.mp4
video,,Watch HRH Fon Dr. Fomuki On CRTV.mp4,16411235,,,.mp4
image,Chief-Fomuki-Visits-USA,358098403_784488523679000_4540024370138548917_n.jpg,596967,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358106563_784488853678967_4448825173146183562_n.jpg,310460,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358106677_784488623678990_1501665642118711742_n.jpg,457140,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358109035_784488513679001_3912364684017291185_n.jpg,368034,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358110662_784488613678991_4406787161102179036_n.jpg,559773,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358113241_784488543678998_6764010530189523766_n.jpg,575670,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358122183_784488350345684_775212020953983281_n.jpg,377406,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358127308_784488583678994_1830931125477083385_n.jpg,286646,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358135166_784488693678983_8020995215856396344_n.jpg,601252,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358135772_784488493679003_6867063939457968224_n.jpg,275081,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358138092_784488590345660_8342776229173122155_n.jpg,292209,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358141084_784488793678973_5016875792103665668_n.jpg,316319,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358141792_784488817012304_367772657187471626_n.jpg,514667,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358155909_784488673678985_4531506812148893416_n.jpg,476237,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358155917_784488633678989_6744973389524918503_n.jpg,390813,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358693208_784488843678968_5072328797716473942_n.jpg,622886,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358719650_784488723678980_7450504072763959443_n.jpg,430929,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,358720066_784488750345644_3899375623689539921_n.jpg,376267,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,362301524_784488650345654_1990241010794429021_n.jpg,417986,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,362986908_784488870345632_6672009365534296831_n.jpg,313054,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,363345629_784488830345636_7335983480480225812_n.jpg,414735,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,363356586_784488777012308_3038868152591392589_n.jpg,664155,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,363825555_784486240345895_5289252894531198887_n.jpg,129259,960,720,.jpg
image,Chief-Fomuki-Visits-USA,363835615_784499353677917_8452519297401029817_n.jpg,513084,2048,1536,.jpg
image,Chief-Fomuki-Visits-USA,363849894_784486917012494_492103729525858737_n.jpg,121727,960,720,.jpg
image,Chief-Fomuki-Visits-USA,364041208_784499990344520_1042316785513228822_n.jpg,1600102,2048,2048,.jpg
image,Chief-Fomuki-Visits-USA,364061102_784486447012541_2413380656036515603_n.jpg,115631,960,720,.jpg
image,Chief-Fomuki-Visits-USA,364137558_784488483679004_4459377243027308240_n.jpg,455598,2048,1536,.jpg
image,GUDECA North America Welcmes HRH Fomuki Walters and Entourage from Germany,358098403_784488523679000_4540024370138548917_n.jpg,596967,2048,1536,.jpg
image,GUDECA North America Welcmes HRH Fomuki Walters and Entourage from Germany,358106563_784488853678967_4448825173146183562_n.jpg,310460,2048,1536,.jpg
image,GUDECA North America Welcmes HRH Fomuki Walters and Entourage from Germany,358106677_784488623678990_1501665642118711742_n.jpg,457140,2048,1536,.jpg
image,GUDECA North America Welcmes HRH Fomuki Walters and Entourage from Germany,358109035_784488513679001_3912364684017291185_n.jpg,368034,2048,1536,.jpg
image,GUDECA North America Welcmes HRH Fomuki Walters and Entourage from Germany,358110662_784488613678991_4406787161102179036_n.jpg,559773,2048,1536,.jpg
